epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP75(B),metrics/mAP95(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,62.2278,3.20391,4.14523,3.67397,0.00179,0.37408,0.00293,0.00023,0,0.00075,3.34252,4.03965,3.55394,0.0675238,0.000328042,0.000328042
2,108.69,2.56911,3.44679,3.08076,0.01042,0.38184,0.02721,0.00101,0,0.00559,2.80814,4.34052,3.31293,0.0345218,0.00065933,0.00065933
3,158.002,2.25517,3.04689,2.72885,0.02319,0.06864,0.01684,0.00241,0,0.00514,2.66688,4.01994,3.19688,0.00151765,0.000988554,0.000988554
4,201.361,2.0734,2.86436,2.5401,0.11097,0.21724,0.03786,0.00459,0,0.01131,2.39044,4.51151,3.00212,0.000990719,0.000990719,0.000990719
5,242.915,1.95364,2.72732,2.44736,0.18617,0.34777,0.16693,0.03935,0,0.06387,2.02452,3.09638,2.62686,0.000987625,0.000987625,0.000987625
6,288.046,1.8851,2.59276,2.37696,0.17766,0.31355,0.16393,0.03474,0,0.06362,2.11226,3.01993,2.68093,0.000984531,0.000984531,0.000984531
7,330.2,1.82409,2.52462,2.3168,0.28144,0.34565,0.25316,0.10674,0,0.12398,2.02829,2.58727,2.63857,0.000981437,0.000981437,0.000981437
8,374.27,1.80363,2.46069,2.29033,0.2293,0.3694,0.2296,0.07388,0.00683,0.10394,1.95698,2.62535,2.51388,0.000978344,0.000978344,0.000978344
9,416.899,1.75344,2.42424,2.23175,0.29096,0.38685,0.2441,0.11351,0,0.12112,1.95511,2.51894,2.54435,0.00097525,0.00097525,0.00097525
10,460.455,1.72526,2.34342,2.21087,0.49238,0.27038,0.30863,0.14927,2e-05,0.1628,1.86742,2.51797,2.44282,0.000972156,0.000972156,0.000972156
11,500.097,1.70079,2.301,2.19457,0.35158,0.42411,0.36174,0.18178,0.007,0.1943,1.83516,2.36995,2.42493,0.000969063,0.000969063,0.000969063
12,545.205,1.67255,2.27803,2.16452,0.36171,0.37332,0.34568,0.17499,0.03074,0.1945,1.92019,2.34151,2.48775,0.000965969,0.000965969,0.000965969
13,587.349,1.67072,2.28131,2.15749,0.36328,0.4218,0.33079,0.15624,0.00227,0.17016,1.82592,2.42781,2.36584,0.000962875,0.000962875,0.000962875
14,629.724,1.67462,2.23519,2.14184,0.52374,0.353,0.38262,0.18533,0.01131,0.20635,1.86163,2.26531,2.35649,0.000959781,0.000959781,0.000959781
15,674.013,1.6163,2.18478,2.10142,0.45155,0.42528,0.36638,0.20211,0.00591,0.19276,1.84046,2.26084,2.44237,0.000956688,0.000956688,0.000956688
16,716.638,1.63474,2.16259,2.11331,0.43498,0.417,0.41206,0.20464,0.01741,0.22882,1.79029,2.14651,2.37527,0.000953594,0.000953594,0.000953594
17,759.574,1.60334,2.12946,2.07659,0.40239,0.44255,0.42218,0.21935,0.00382,0.24031,1.85085,2.15258,2.44079,0.0009505,0.0009505,0.0009505
18,801.122,1.6051,2.12719,2.08992,0.50979,0.43596,0.44283,0.23413,0.00137,0.24817,1.81999,2.09435,2.37408,0.000947406,0.000947406,0.000947406
19,843.412,1.59322,2.12597,2.06019,0.4158,0.44628,0.42494,0.21893,0.00741,0.2366,1.81825,2.37316,2.4116,0.000944313,0.000944313,0.000944313
20,887.474,1.58389,2.10416,2.07254,0.43923,0.42081,0.41622,0.20483,0.00023,0.23064,1.86425,2.17682,2.40556,0.000941219,0.000941219,0.000941219
21,930.955,1.55171,2.09206,2.04129,0.46145,0.45687,0.43479,0.26259,0.02762,0.25696,1.78515,2.18159,2.33082,0.000938125,0.000938125,0.000938125
22,971.796,1.56177,2.05268,2.03782,0.4126,0.52923,0.45813,0.25783,0.01224,0.26988,1.73135,2.15206,2.30299,0.000935031,0.000935031,0.000935031
23,1016.06,1.55738,2.0502,2.04588,0.55767,0.4749,0.45528,0.2474,0.01971,0.26108,1.74456,1.99974,2.2907,0.000931938,0.000931938,0.000931938
24,1059.36,1.5445,2.00115,2.03307,0.5042,0.51149,0.45088,0.24266,0.02956,0.24695,1.75963,2.02708,2.31055,0.000928844,0.000928844,0.000928844
25,1102.11,1.53215,1.97667,2.00529,0.51208,0.44971,0.43991,0.2349,0.00579,0.24293,1.72527,2.07246,2.31582,0.00092575,0.00092575,0.00092575
26,1142.86,1.52418,2.00054,1.99082,0.5564,0.44337,0.45641,0.22605,0.01602,0.25773,1.7752,2.04849,2.31579,0.000922656,0.000922656,0.000922656
27,1187.14,1.4859,1.92287,1.96623,0.59083,0.47209,0.45785,0.22948,0.00602,0.2561,1.78382,2.07005,2.31356,0.000919562,0.000919562,0.000919562
28,1231.39,1.48578,1.95204,1.96544,0.64565,0.38704,0.46669,0.26697,0.01137,0.26392,1.79782,2.0315,2.31138,0.000916469,0.000916469,0.000916469
