epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP75(B),metrics/mAP95(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.3352,3.46682,4.29767,4.06848,0.00034,0.09778,0.00039,2e-05,0,9e-05,3.45231,3.9885,3.76164,0.06931,0.00031,0.00031
2,23.8057,3.31223,4.0282,3.71584,0.00079,0.12444,0.00319,0.00018,0,0.00059,3.4191,3.91744,3.66404,0.0376281,0.000628051,0.000628051
3,30.82,3.23196,3.89896,3.57211,0.00095,0.17333,0.00513,0.0002,0,0.00094,3.33687,3.85452,3.5436,0.00594412,0.000944122,0.000944122
4,37.853,3.20427,3.70747,3.51608,0.35109,0.04444,0.00932,0.00054,0,0.00221,3.11414,3.57213,3.38592,0.000990719,0.000990719,0.000990719
5,44.7973,3.11528,3.58865,3.41554,0.34442,0.03111,0.00656,0.00019,0,0.00162,3.04572,3.9408,3.63948,0.000987625,0.000987625,0.000987625
6,51.6249,2.9882,3.40154,3.33333,0.6954,0.02222,0.01327,0.0005,0,0.00328,3.56376,15.6241,4.58131,0.000984531,0.000984531,0.000984531
7,58.3341,2.87027,3.28563,3.21772,0.36135,0.09961,0.00951,0.00014,0,0.00234,3.27616,5.62208,4.16519,0.000981437,0.000981437,0.000981437
8,65.073,2.7115,3.19602,3.1249,0.34725,0.09961,0.0139,0.0004,0,0.00346,2.91102,12.068,3.55111,0.000978344,0.000978344,0.000978344
9,72.069,2.79465,3.02565,3.0682,0.39801,0.10915,0.05908,0.00265,0,0.01597,2.82696,3.86327,3.34434,0.00097525,0.00097525,0.00097525
10,78.7055,2.70118,2.98127,3.02496,0.17629,0.18581,0.09532,0.00117,0,0.02509,2.7477,2.92741,3.21153,0.000972156,0.000972156,0.000972156
11,85.6439,2.6446,2.97853,2.98537,0.49118,0.26764,0.1523,0.00308,0,0.04406,2.6699,2.77307,3.16931,0.000969063,0.000969063,0.000969063
12,92.3421,2.59825,2.86048,2.97044,0.16253,0.29093,0.1326,0.01253,0,0.03756,2.65719,3.07155,3.11341,0.000965969,0.000965969,0.000965969
13,99.4057,2.50346,2.76867,2.91507,0.26197,0.26897,0.21184,0.01086,0,0.06725,2.43688,2.79456,2.89712,0.000962875,0.000962875,0.000962875
14,106.486,2.43954,2.7248,2.82861,0.16218,0.16183,0.14088,0.00668,0,0.03374,2.68272,2.79315,3.03011,0.000959781,0.000959781,0.000959781
15,113.55,2.34281,2.73863,2.74007,0.11845,0.35227,0.11801,0.0158,0,0.0396,2.46696,3.16669,2.91663,0.000956688,0.000956688,0.000956688
16,120.548,2.30804,2.60963,2.69727,0.28286,0.35496,0.2052,0.02588,0,0.06917,2.29686,3.20324,2.79854,0.000953594,0.000953594,0.000953594
17,127.76,2.34071,2.55746,2.66794,0.46574,0.3291,0.18571,0.02331,0,0.07167,2.24558,2.83399,2.75911,0.0009505,0.0009505,0.0009505
18,134.842,2.27785,2.51017,2.66002,0.19622,0.32102,0.27349,0.03502,0,0.10387,2.19262,2.28564,2.64062,0.000947406,0.000947406,0.000947406
19,141.774,2.22973,2.4756,2.63762,0.35639,0.41519,0.27316,0.03853,0,0.10608,2.19776,2.5587,2.61941,0.000944313,0.000944313,0.000944313
20,148.537,2.13326,2.36399,2.53305,0.2437,0.24727,0.2271,0.03595,0,0.07546,2.18649,2.42367,2.61073,0.000941219,0.000941219,0.000941219
21,155.377,2.12317,2.31548,2.50803,0.23413,0.29216,0.31743,0.08727,0,0.13227,2.14622,2.14971,2.58796,0.000938125,0.000938125,0.000938125
22,162.259,2.07948,2.35923,2.52823,0.26134,0.29802,0.27441,0.02606,0,0.08969,2.2647,2.16051,2.65495,0.000935031,0.000935031,0.000935031
23,168.773,2.11305,2.28492,2.50172,0.32652,0.43865,0.33917,0.09077,0,0.13776,2.06522,2.11971,2.5297,0.000931938,0.000931938,0.000931938
24,175.279,2.0634,2.24622,2.4984,0.34874,0.29591,0.30616,0.0487,0,0.11189,2.11482,2.20278,2.55469,0.000928844,0.000928844,0.000928844
25,181.737,2.01462,2.21264,2.44594,0.35289,0.29899,0.36113,0.07772,8e-05,0.1374,2.12646,2.22938,2.546,0.00092575,0.00092575,0.00092575
